,vid_name,label,start_frame,end_frame
0,3qq031609lA_00002,0,0,123
1,3qq031609lA_00004,0,0,102
2,5V-dKBtmKLI_00018,0,0,55
3,5V-dKBtmKLI_00085,0,0,80
4,5V-dKBtmKLI_00086,0,0,89
5,9BC6ssCjyfg_00176,0,0,128
6,9BC6ssCjyfg_00177,0,0,158
7,9BC6ssCjyfg_00178,0,0,153
8,9jZYYtzYqwE_00037,0,0,92
9,9jZYYtzYqwE_00097,0,0,64
10,D8YKHC5hmUs_00096,0,0,152
11,D8YKHC5hmUs_00106,0,0,124
12,D8YKHC5hmUs_00107,0,0,133
13,D8YKHC5hmUs_00128,0,0,73
14,D8YKHC5hmUs_00129,0,0,153
15,D8YKHC5hmUs_00134,0,0,89
16,D8YKHC5hmUs_00135,0,0,131
17,D8YKHC5hmUs_00152,0,0,138
18,D8YKHC5hmUs_00153,0,0,107
19,D8YKHC5hmUs_00162,0,0,72
20,D8YKHC5hmUs_00163,0,0,108
21,D8YKHC5hmUs_00174,0,0,56
22,D8YKHC5hmUs_00175,0,0,148
23,D8YKHC5hmUs_00177,0,0,123
24,D8YKHC5hmUs_00215,0,0,51
25,D8YKHC5hmUs_00216,0,0,114
26,D8YKHC5hmUs_00266,0,0,143
27,DB4lpBDPnTY_00039,0,0,109
28,DB4lpBDPnTY_00040,0,0,129
29,JzOshOJgofw_00081,0,0,119
30,JzOshOJgofw_00082,0,0,87
31,JzOshOJgofw_00105,0,0,131
32,JzOshOJgofw_00106,0,0,112
33,LkluZoNfKu8_00104,0,0,84
34,VNvb5oLOpLg_00794,0,0,118
35,Y7QZcr24ye0_00268,0,0,179
36,Y7QZcr24ye0_00284,0,0,138
37,Y7QZcr24ye0_00290,0,0,122
38,Y7QZcr24ye0_00777,0,0,144
39,_lmT4WlK7G0_00050,0,0,150
40,db7DmpqzGmc_00043,0,0,103
41,db7DmpqzGmc_00167,0,0,81
42,db7DmpqzGmc_00168,0,0,50
43,eN8umEok9U8_00022,0,0,119
44,eN8umEok9U8_00023,0,0,137
45,eN8umEok9U8_00044,0,0,86
46,eN8umEok9U8_00055,0,0,143
47,eN8umEok9U8_00090,0,0,73
48,eN8umEok9U8_00091,0,0,120
49,eN8umEok9U8_00099,0,0,172
50,eN8umEok9U8_00144,0,0,115
51,eN8umEok9U8_00146,0,0,87
52,eN8umEok9U8_00147,0,0,117
53,eN8umEok9U8_00149,0,0,141
54,eN8umEok9U8_00159,0,0,61
55,eN8umEok9U8_00160,0,0,95
56,eN8umEok9U8_00194,0,0,176
57,eN8umEok9U8_00206,0,0,74
58,eN8umEok9U8_00207,0,0,106
59,eN8umEok9U8_00208,0,0,141
60,eN8umEok9U8_00209,0,0,158
61,fB1Pc3CylrQ_00006,0,0,80
62,fB1Pc3CylrQ_00015,0,0,63
63,fB1Pc3CylrQ_00018,0,0,164
64,fohMq9tOn6E_00015,0,0,96
65,fohMq9tOn6E_00016,0,0,74
66,fohMq9tOn6E_00017,0,0,165
67,fohMq9tOn6E_00022,0,0,117
68,fohMq9tOn6E_00023,0,0,73
69,fohMq9tOn6E_00025,0,0,115
70,fohMq9tOn6E_00065,0,0,78
71,nOlRwoxsDJ0_00238,0,0,175
72,nOlRwoxsDJ0_00270,0,0,158
73,nOlRwoxsDJ0_00276,0,0,139
74,nOlRwoxsDJ0_00603,0,0,162
75,nOlRwoxsDJ0_00647,0,0,146
76,siEI_jaSmd4_00015,0,0,124
77,siEI_jaSmd4_00047,0,0,102
78,siEI_jaSmd4_00049,0,0,41
79,siEI_jaSmd4_00050,0,0,70
80,siEI_jaSmd4_00051,0,0,136
81,siEI_jaSmd4_00101,0,0,66
82,sk8TafuB3lU_00320,0,0,151
83,sk8TafuB3lU_00921,0,0,163
84,uDESPUxbjnI_00000,0,0,51
